rel_month,estimate_mph,std_error,p_value,ci_low,ci_high
-17,0.40280738794589377,0.06518952128130762,6.450052386595399e-10,0.27503827406512343,0.5305765018266642
-16,-0.32729992905185,0.05796786859050387,1.640042344149528e-08,-0.4409148637497882,-0.2136849943539118
-15,-0.13978411981421174,0.04383959279565051,0.0014299520368564265,-0.22570814279058837,-0.05386009683783512
-14,-0.10701390923644445,0.059628689475823775,0.07270605483936839,-0.2238839930543816,0.009856174581492697
-13,-0.026053376021714852,0.02911733386813748,0.3709089633375475,-0.08312230172909266,0.03101554968566295
-12,0.2091659044755962,0.04171830815942099,5.33744305551693e-07,0.12739952298718757,0.2909322859640048
-11,0.23412546833837994,0.04383937448424721,9.267554555576622e-08,0.1482018732444912,0.3200490634322687
-10,0.14471697362067948,0.041214868355569936,0.00044595316497098145,0.06393731601620284,0.22549663122515612
-9,0.1729935547978993,0.0421575209239921,4.0693945316350614e-05,0.09036633210938104,0.25562077748641754
-8,-0.01613423766283549,0.038962473398271136,0.6788031766190159,-0.09249928227204685,0.060230806946375864
-7,0.22888799402409044,0.045590882270960496,5.154321588616008e-07,0.13953150674960219,0.3182444812985787
-6,0.42810727611838895,0.06573092510343319,7.365136832151553e-11,0.29927703024516017,0.5569375219916177
-5,0.44702286180532896,0.06687719290434013,2.321343230777956e-11,0.31594597232568467,0.5780997512849733
-4,-0.18981619450026482,0.046015126343903895,3.7060181487521023e-05,-0.2800041848783767,-0.09962820412215294
-3,-0.03279914667686068,0.033330005172151164,0.3250797909485005,-0.09812475641881069,0.03252646306508933
-2,-0.06023031214240437,0.032365803153660014,0.06275485644271726,-0.12366612065429089,0.0032054963694821623
